4,/m/01h8n0,Conversation
13,/t/dd00135,Children shouting
53,/m/07pbtc8,"Walk, footsteps"
69,/m/03qtwd,Crowd
70,/m/07qfr4h,"Hubbub, speech noise, speech babble"
71,/t/dd00013,Children playing
112,/m/020bb7,"Bird vocalization, bird call, bird song"
113,/m/07pggtn,"Chirp, tweet"
318,/m/05x_td,"Air horn, truck horn"
326,/m/04_sv,Motorcycle
327,/m/0btp2,"Traffic noise, roadway noise"
344,/t/dd00065,Light engine (high frequency)
348,/t/dd00066,Medium engine (mid frequency)
351,/t/dd00130,Engine starting
352,/m/07pb8fc,Idling
500,/m/028v0c,Silence
